BOA* + CH	41921	22388	13940	4057	89	0.209527	0.052437
BOA* + CH	45994	12187	6761	1416	89	0.104614	0.053538
BOA* + CH	111194	99775	2870	865	91	0.077174	0.053195
BOA* + CH	195290	155602	20320	3913	96	0.248142	0.055848
BOA* + CH	35044	5537	7633	1865	104	0.118881	0.055384
BOA* + CH	220385	165371	12149	5504	108	0.212038	0.051822
BOA* + CH	251638	207423	4503	1152	108	0.092345	0.053524
BOA* + CH	67627	25726	12364	2484	111	0.167932	0.053528
BOA* + CH	10081	4812	1736	909	114	0.076631	0.052894
BOA* + CH	222011	63311	2529	735	114	0.076487	0.054955
BOA* + CH	16545	4293	2973	1083	116	0.079675	0.052724
BOA* + CH	47198	7430	13963	2987	116	0.188755	0.053932
BOA* + CH	241775	173475	10290	3557	121	0.15621	0.050838
BOA* + CH	69469	4625	45809	7210	123	0.450149	0.053942
BOA* + CH	151206	80906	2800	1414	142	0.08564	0.057276
BOA* + CH	65826	40164	13308	2655	150	0.175296	0.052799
BOA* + CH	121237	41114	10567	1695	152	0.151075	0.05419
BOA* + CH	12856	6411	7981	3500	164	0.190049	0.067137
BOA* + CH	153314	147209	20349	6258	165	0.274491	0.05606
BOA* + CH	141879	21617	11767	3657	168	0.181551	0.059077
BOA* + CH	150351	114427	8918	5047	173	0.173368	0.051438
BOA* + CH	229305	122937	22391	4390	173	0.2378	0.050221
BOA* + CH	223402	214993	5360	2734	196	0.117268	0.05311
BOA* + CH	220444	112320	25226	3980	199	0.242633	0.050463
BOA* + CH	135529	74225	21449	5337	200	0.259074	0.049584
BOA* + CH	230583	70149	12254	3300	202	0.166263	0.04799
BOA* + CH	140274	112105	9256	3400	205	0.163697	0.056469
BOA* + CH	140656	30391	22194	6186	214	0.294547	0.052152
BOA* + CH	37208	6014	71891	11423	215	0.680961	0.056337
BOA* + CH	240557	161333	27649	5473	220	0.313081	0.052425
BOA* + CH	154145	126806	66619	17070	221	0.824866	0.062407
BOA* + CH	210149	67703	50951	15053	227	0.659601	0.053065
BOA* + CH	136819	47443	26848	6386	228	0.300859	0.05169
BOA* + CH	32916	5186	5866	2695	229	0.125155	0.05073
BOA* + CH	183534	36489	15877	4945	241	0.213482	0.052676
BOA* + CH	237332	58601	71018	13400	241	0.763099	0.049547
BOA* + CH	237935	58802	55989	11597	244	0.636947	0.052001
BOA* + CH	159467	87587	20986	5955	245	0.244863	0.051723
BOA* + CH	201043	125328	52986	13177	249	0.657257	0.053472
BOA* + CH	217848	93272	67816	13258	265	0.698582	0.047816
BOA* + CH	183976	97618	36328	9869	284	0.445559	0.05145
BOA* + CH	161158	2532	15716	7848	362	0.258879	0.050782
BOA* + CH	151088	21713	35018	7680	363	0.377783	0.05725
BOA* + CH	234245	69549	86555	18289	421	0.980788	0.062436
BOA* + CH	222680	201425	45438	12812	438	0.603518	0.059604
BOA* + CH	219717	174928	98514	31585	465	1.24554	0.049134
BOA* + CH	175312	118708	151810	32877	509	1.58259	0.050523
BOA* + CH	208360	99990	269330	48924	646	3.19228	0.060194
